teamPosition,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,flawlessAces,fullTeamTakedown,gameLength,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsNearEnemyTurret,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,threeWardsOneSweeperCount,tookLargeDamageSurvived,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summonerLevel,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
TOP,0,248,0,0,0,0,0,0,0,1,583.44862,0.264789726,0,8,4,0,0,1,0,0,0,31,0,0,0,0,0,0,1,1623.116493,402.1202968,0,3,0,0,0,0,0,0.75,0,0.3,0,1,1,0,0,0,6,3,60,0,0,0,50,0,3,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,21,10,0,0,3,5,0,0,0,6,0,0,4,1,0,0,0.236980333,0,0,0,0,4,2,0,8,0,0.130555034,0.713321163,0,0,0,0,0,1,0,0,0,0,12797,14,0,2,6880,6880,6880,19073,0,8,1,1,0,1,0,0,0,0,0,0,10878,12250,0,0,0,3,18,5,0,4,2,511,0,0,6992,0,0,0,0,0,0,0,120812,15698,19521,0,0,0,167,28,46,7,345,14,1623,123391,15783,0,30158,8737,0,175,228,243,1,0,2579,84,3643,2,9,0,0,19,1,0,6,0
JUNGLE,0,569,0,83.50000018,0,0,300,0,0,0,686.9557326,0.262049333,0,9,3,0,1,0,0,0,0,6,0,0,0,0,0,0,1,1623.116493,377.4941329,0,2,2,2,48.00000006,0,0,1.333333333,3,0.6,0,2,1,0,1,0,0,6,3,0,0,0,16,0,1,-38.50000006,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,18,22,0,0,2,0,0,2,0,12,0,0,6,0,0,0,0.279021996,0,0,0,0,0,0,0,0,0,-0.119161904,0.429420815,1,1,0,0,0,7,0,0,0,0,10822,13,0,1,0,14081,0,15250,0,9,0,0,1,1,0,0,0,0,0,0,10211,9050,0,0,0,3,14,5,0,3,1,298,104722,17118,9921,0,100,0,0,0,4,0,14877,719,17651,0,0,0,451,23,87,8,214,10,1623,152724,18583,0,29846,1659,0,29,154,206,1,0,33124,745,2273,0,9,0,0,11,0,1,0,0
MIDDLE,0,109,0,0,0,0,150,0,0,0,341.0312564,0.168000839,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1623.116493,330.4354293,0,0,0,0,0,0,0,1.166666667,1,0.35,0,0,1,0,0,0,0,0,52,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,10,0,0,0,0,7,0,0,0,7,0,0,3,0,0,0,0.138517254,0,0,0,0,0,0,0,6,0,-0.25370568,0.485038141,1,1,0,0,0,4,0,0,0,0,12165,14,0,0,0,5629,0,10674,0,6,0,0,0,0,0,0,0,0,0,0,8938,8800,0,0,0,3,14,3,0,0,1,569,82763,7834,7101,0,4,0,0,0,3,0,13703,1061,10531,0,0,0,66,36,0,7,175,0,1623,101691,9225,0,19134,989,0,143,0,170,1,0,5224,329,1501,0,9,0,0,13,0,1,7,0
BOTTOM,0,98,0,6.50000003,0,0,0,0,0,2,289.824193,0.173628828,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1623.116493,332.8214281,0,0,0,0,0,0,0,0.555555556,0,0.25,0,0,0,0,0,0,0,4,59,0,0,0,42.00000003,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,8,0,0,0,7,0,2,0,5,0,0,3,0,0,0,0.117718393,0,0,0,0,2,1,0,6,0,0.674362421,0.780296235,2,2,0,0,3,4,0,0,0,0,8810,12,2,3,2544,3699,2544,7738,0,9,2,0,0,2,0,0,0,0,0,0,9003,8900,2,0,0,3,19,1,327,0,1,263,199,199,8429,0,8,0,0,0,0,0,78666,6574,10516,1,0,0,32,33,27,6,704,6,1623,84380,7840,0,19775,2179,0,136,256,211,1,0,5514,1066,830,1,9,0,0,21,2,2,10,0
UTILITY,0,168,0,0,0,0,1250,0,1,1,560.7530231,0.131531275,0,6,3,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1623.116493,378.6549495,0,2,0,0,0,0,0,1.666666667,4,0.5,0,2,0,0,3,0,0,15,9,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,21,64,0,0,1,16,1,0,0,10,0,0,4,0,0,0,0.227762024,0,0,0,0,1,0,0,2,0,-0.464904487,1.300204834,4,2,0,0,2,4,0,0,0,0,9782,12,2,4,313,1377,313,5672,0,6,1,0,0,0,0,0,0,0,0,3,10243,10150,0,0,0,3,18,6,0,2,1,419,63332,13409,5633,0,0,0,0,0,3,0,3729,454,9122,0,0,0,74,44,29,21,125,27,1623,68375,15169,0,14980,391,0,58,196,120,1,0,1313,1305,224,0,9,0,0,35,2,4,17,0
TOP,0,151,0,0,1,0,0,0,0,0,457.3723311,0.161108714,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.116493,367.7751635,0,0,0,0,0,0,1,1,0,0.131578947,0,0,0,0,1,0,0,10,40,0,0,0,9,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,6,43,0,0,1,9,0,2,1,5,0,0,3,0,0,1,0.148654155,0,4,0,0,5,6,10,6,0,-0.115478754,0.630947736,1,0,0,0,0,3,0,0,0,0,11024,13,5,1,9223,17005,9223,7342,0,5,0,0,0,1,0,0,0,0,1,0,9949,9000,0,1,1,0,15,2,400,0,1,813,6974,1482,5260,0,0,0,0,0,0,0,100911,9698,9103,0,0,0,62,9,73,7,311,0,1623,116348,12372,0,14514,1149,0,144,0,127,1,0,8462,1192,150,5,3,0,0,17,0,1,9,1
JUNGLE,0,349,0,59.50000009,1,0,525,3,0,1,1227.335659,0.316711672,0,3,2,0,2,0,0,0,0,23,22,1,0,0,0,0,0,1623.116493,599.2737535,0,16,2,0,44.00000006,0,0,9,0,0.710526316,0,3,3,0,0,0,0,3,1,0,1,0,24.99999994,1,4,-38.50000006,0,0,6,1,0,3,0,0,0,19,0,0,0,0,3,0,3,13,19,0,0,3,1,0,0,0,27,0,0,9,0,0,1,0.398905952,0,4,0,0,3,4,10,0,0,0.135282397,0.487513885,2,1,1,0,3,7,6,1,0,3,14919,16,1,2,1924,35864,1924,24275,0,3,1,4,2,14,3,0,0,0,0,0,16211,14400,0,1,3,0,24,20,0,15,3,1026,2548,2114,7235,0,114,1,0,0,14,0,126324,24590,20430,0,0,0,160,84,95,10,129,30,1623,178354,33201,0,28533,8808,0,21,194,74,1,2,49481,6497,867,3,3,0,0,13,1,2,2,1
MIDDLE,0,124,0,0,0,0,300,0,0,4,582.4953396,0.190464106,0,4,4,0,0,0,436.0231018,0,0,17,0,0,0,0,0,0,0,1623.116493,382.4029115,0,8,0,0,0,0,0,3.75,1,0.394736842,0,1,1,0,0,0,0,1,68,0,0,0,21,1,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,15,0,0,2,8,0,0,0,15,0,0,3,0,0,1,0.189321362,0,4,0,0,0,7,10,6,0,0.339953899,0.649928759,0,0,0,0,0,9,8,0,0,1,13742,15,1,6,5567,5567,5567,8301,0,4,4,0,0,1,0,0,0,0,0,2,10344,9385,0,0,2,0,21,6,0,3,1,588,63332,12900,11398,0,0,1,0,0,2,0,15418,2073,4527,0,0,0,34,68,17,5,198,36,1623,79535,15757,436,17159,3499,0,145,48,147,1,0,784,784,1233,0,3,0,0,17,4,0,12,1
BOTTOM,0,165,0,4,1,0,0,0,0,0,283.1650923,0.191311369,0,5,1,0,1,0,3577.982422,0,0,23,2.00000003,0,0,0,0,0,0,1623.116493,321.2170522,0,9,0,0,0,0,0,3.6,2,0.473684211,0,0,0,0,0,0,0,26,47,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,8,63,0,0,0,6,0,0,0,18,0,0,7,0,0,1,0.092033699,0,4,0,0,0,5,10,4,0,-0.402757764,0.466025884,1,0,1,0,0,15,0,0,0,0,10648,13,0,2,1783,7071,1783,5339,0,5,0,0,0,6,0,0,1,0,0,0,8689,8200,0,0,2,0,16,3,0,0,1,561,63515,6513,11521,0,10,0,0,0,0,0,13478,1146,5193,0,0,0,81,26,52,6,122,26,1623,76993,7660,2536,17235,3678,1041,94,164,114,5,0,0,0,521,1,3,0,0,12,0,1,8,1
UTILITY,0,212,0,0,1,0,0,0,1,6,526.3860135,0.14040414,0,3,0,0,1,1,7261.471191,0,0,24,0,0,0,0,0,0,0,1623.116493,369.6227015,0,13,0,0,0,0,0,9.333333333,3,0.736842105,0,2,3,0,1,0,0,15,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,6,60,0,0,0,20,0,0,0,28,1,0,11,0,0,1,0.171084831,0,4,0,0,0,5,10,0,0,0.868825316,2.429855725,7,4,0,1,0,21,0,0,0,4,11004,13,22,8,1770,4028,1770,5705,0,3,6,0,0,3,1,1,0,0,0,1,9999,9435,0,1,3,0,20,7,0,4,1,287,19724,12981,5114,0,4,1,0,0,1,0,4851,1258,6625,0,0,0,47,73,82,10,421,33,1623,26445,14239,1912,12649,10290,5348,14,252,49,5,0,1869,0,909,0,3,0,0,65,6,7,26,1
